Date,Time(UTC),Latitude,Longitude,Heading,Speed(km/hr),Altitude(m),Internal Temp(C),Battery(V),GPS Lock,Timestamp,Pressure(Pa),Humidity(%),
3/30/2023,11:32:41,35.4777,-86.682,323,0,2352,13,1.6,0,72,85540,,
3/30/2023,11:35:41,35.4777,-86.682,1,0,827,9,1.58,0,75,76217,,
3/30/2023,11:44:41,35.4617,-86.5832,118,83,5451,-4,1.53,0,84,52387,,
3/30/2023,11:45:41,35.4567,-86.5712,121,80,5783,-6,1.53,7,85,50116,,
3/30/2023,11:46:41,35.4542,-86.5627,124,0,6134,-8,1.51,4,86,47879,,
3/30/2023,11:49:41,35.4542,-86.5627,1,0,6014,-14,1.5,0,89,41582,,
3/30/2023,11:53:41,35.4113,-86.4382,110,143,8656,-22,1.46,3,93,34046,,
3/30/2023,11:54:41,35.4045,-86.4198,128,130,9025,-25,1.46,9,94,32375,,
3/30/2023,12:01:47,0,0,1,0,9529,-40,1.39,0,6,22265,,
3/30/2023,12:44:47,35.185,-85.6477,170,20,27481,-25,1.46,2,49,1697,,
3/30/2023,12:45:47,35.1827,-85.6452,126,39,27911,-25,1.46,9,50,1594,,
3/30/2023,12:49:53,0,0,1,0,26947,-38,1.44,0,3,4438,,
3/30/2023,13:15:59,35.042,-85.1682,72,0,3066,0,1.54,4,8,70969,,
3/30/2023,13:16:59,35.0412,-85.1593,106,54,2714,1,1.55,8,9,74480,,
3/30/2023,13:17:59,35.0403,-85.1535,73,50,2361,3,1.54,9,10,78016,,
3/30/2023,13:18:59,35.04,-85.147,68,26,1997,6,1.56,9,11,81557,,
3/30/2023,13:19:59,35.0393,-85.145,158,19,1654,7,1.57,9,12,85200,,
3/30/2023,13:20:59,35.0397,-85.1462,17,24,1292,7,1.57,9,13,89009,,
3/30/2023,13:21:59,35.0407,-85.1467,13,17,1077,10,1.57,9,14,93564,,
3/30/2023,13:22:59,35.0398,-85.1477,72,31,809,13,1.58,6,15,96481,,
